Date,Open,High,Low,Close,Volume,Adj Close
2016-03-18,12.82,12.90,12.67,12.74,3449100,12.74
2016-03-17,12.59,12.77,12.53,12.70,5465000,12.70
2016-03-16,12.54,12.81,12.54,12.78,3897500,12.78
2016-03-15,12.76,12.89,12.73,12.88,2889600,12.88
2016-03-14,13.08,13.11,12.97,13.04,2755600,13.04
2016-03-11,13.06,13.20,12.94,13.20,3776900,13.20
2016-03-10,12.81,12.91,12.34,12.51,7081900,12.51
2016-03-09,12.38,12.38,12.20,12.23,1755100,12.23
2016-03-08,12.40,12.41,12.21,12.22,2307800,12.22
2016-03-07,12.18,12.37,12.17,12.31,2304800,12.31
2016-03-04,12.57,12.62,12.47,12.53,2112300,12.53
2016-03-03,12.38,12.55,12.34,12.54,2484200,12.54
2016-03-02,12.32,12.50,12.27,12.48,3298200,12.48
2016-03-01,11.95,12.22,11.90,12.21,2964300,12.21
2016-02-29,11.80,11.85,11.69,11.72,2459600,11.72
2016-02-26,11.83,11.84,11.69,11.74,2974700,11.74
2016-02-25,11.44,11.55,11.37,11.54,2127300,11.54
2016-02-24,11.16,11.36,11.08,11.33,2913200,11.33
2016-02-23,11.61,11.62,11.38,11.39,2469400,11.39
2016-02-22,11.57,11.70,11.57,11.68,2086400,11.68
2016-02-19,11.31,11.47,11.26,11.46,2972300,11.46
2016-02-18,11.70,11.70,11.46,11.52,3362600,11.52
2016-02-17,11.68,11.77,11.66,11.70,3777400,11.70
2016-02-16,11.45,11.47,11.29,11.42,4584200,11.42
2016-02-12,10.75,11.05,10.64,11.05,3446400,11.05
2016-02-11,10.66,10.79,10.49,10.58,4436300,10.58
2016-02-10,11.04,11.23,10.95,10.96,3766000,10.96
2016-02-09,10.54,10.76,10.54,10.68,6646400,10.68
2016-02-08,11.20,11.20,10.99,11.11,3826600,11.11
2016-02-05,11.87,11.90,11.66,11.70,5824400,11.70
2016-02-04,11.87,12.00,11.75,11.88,5230700,11.88
2016-02-03,10.84,10.90,10.57,10.88,8842000,10.88
2016-02-02,11.07,11.07,10.83,10.87,5503400,10.87
2016-02-01,11.50,11.55,11.40,11.50,2943700,11.50
2016-01-29,11.47,11.61,11.40,11.59,3911500,11.59
2016-01-28,11.37,11.40,11.16,11.31,4892300,11.31
2016-01-27,11.53,11.68,11.46,11.49,3466200,11.49
2016-01-26,11.53,11.67,11.50,11.66,1854400,11.66
2016-01-25,11.55,11.61,11.45,11.47,2291600,11.47
2016-01-22,11.85,11.90,11.75,11.86,3126500,11.86
2016-01-21,11.35,11.51,11.22,11.43,4987800,11.43
2016-01-20,11.50,11.55,11.24,11.47,4091800,11.47
2016-01-19,11.92,11.94,11.70,11.76,3398400,11.76
2016-01-15,11.98,12.11,11.90,11.97,3728500,11.97
2016-01-14,12.35,12.53,12.22,12.48,3069500,12.48
2016-01-13,12.73,12.77,12.30,12.35,3160300,12.35
2016-01-12,12.61,12.68,12.49,12.66,3024000,12.66
2016-01-11,12.58,12.62,12.42,12.54,2636900,12.54
2016-01-08,12.78,12.80,12.43,12.46,3256300,12.46
2016-01-07,12.65,12.86,12.63,12.67,3658100,12.67
2016-01-06,12.85,12.94,12.82,12.87,1814100,12.87
2016-01-05,13.19,13.23,13.04,13.14,2603100,13.14
2016-01-04,13.20,13.31,13.09,13.31,2978400,13.31
2015-12-31,13.59,13.60,13.46,13.46,1363800,13.46
2015-12-30,13.80,13.82,13.71,13.71,948500,13.71
2015-12-29,13.82,13.88,13.76,13.87,1444200,13.87
2015-12-28,13.77,13.80,13.71,13.79,1341700,13.79
2015-12-24,13.77,13.82,13.75,13.79,531500,13.79
2015-12-23,13.65,13.77,13.64,13.77,1479400,13.77
2015-12-22,13.46,13.55,13.36,13.52,2398200,13.52
2015-12-21,13.37,13.43,13.20,13.31,2128900,13.31
2015-12-18,13.39,13.44,13.29,13.31,2396400,13.31
2015-12-17,13.69,13.70,13.41,13.44,5010500,13.44
2015-12-16,13.55,13.65,13.32,13.61,3328800,13.61
2015-12-15,13.46,13.61,13.44,13.49,2981100,13.49
2015-12-14,13.31,13.34,13.11,13.27,4666700,13.27
2015-12-11,13.21,13.32,13.11,13.22,3586300,13.22
2015-12-10,13.37,13.45,13.29,13.32,3640200,13.32
2015-12-09,13.50,13.63,13.37,13.44,4196300,13.44
2015-12-08,13.26,13.41,13.23,13.36,3183600,13.36
2015-12-07,13.76,13.76,13.60,13.67,1795000,13.67
2015-12-04,13.67,13.88,13.66,13.88,3108800,13.88
2015-12-03,13.76,13.79,13.54,13.58,4238600,13.58
2015-12-02,13.64,13.71,13.50,13.52,2035700,13.52
2015-12-01,13.80,13.84,13.70,13.82,1644500,13.82
2015-11-30,13.79,13.82,13.70,13.74,1789800,13.74
2015-11-27,14.04,14.05,13.91,13.95,1184100,13.95
2015-11-25,13.78,13.83,13.73,13.76,2188500,13.76
2015-11-24,13.69,13.87,13.69,13.80,3048200,13.80
2015-11-23,13.88,13.95,13.75,13.78,1670000,13.78
2015-11-20,14.15,14.15,13.93,13.95,2552700,13.95
2015-11-19,14.38,14.41,14.24,14.24,1650300,14.24
2015-11-18,14.18,14.28,14.13,14.27,1791700,14.27
2015-11-17,14.31,14.36,14.17,14.19,2035100,14.19
2015-11-16,13.95,14.23,13.94,14.22,2424000,14.22
2015-11-13,14.14,14.24,14.01,14.18,2413300,14.18
2015-11-12,14.41,14.53,14.37,14.38,1695700,14.38
2015-11-11,14.75,14.78,14.63,14.64,1562400,14.64
2015-11-10,14.50,14.61,14.46,14.59,1821700,14.59
2015-11-09,14.68,14.71,14.51,14.58,2225900,14.58
2015-11-06,14.58,14.81,14.58,14.80,3287600,14.80
2015-11-05,14.50,14.56,14.34,14.41,2012800,14.41
2015-11-04,14.81,14.83,14.54,14.59,2980100,14.59
2015-11-03,14.34,14.49,14.29,14.44,3053300,14.44
2015-11-02,14.75,14.83,14.69,14.77,1523600,14.77
2015-10-30,14.53,14.58,14.45,14.47,2313800,14.47
2015-10-29,14.50,14.60,14.43,14.55,2587700,14.55
2015-10-28,14.68,14.91,14.65,14.84,3908800,14.84
2015-10-27,14.78,14.80,14.65,14.69,1372400,14.69
2015-10-26,14.90,14.94,14.80,14.87,2403000,14.87
2015-10-23,14.71,14.83,14.67,14.82,2482800,14.82
2015-10-22,14.55,14.69,14.50,14.55,2354800,14.55
2015-10-21,14.62,14.65,14.48,14.48,1518600,14.48
2015-10-20,14.60,14.66,14.52,14.53,1548900,14.53
2015-10-19,14.69,14.74,14.62,14.69,1608900,14.69
2015-10-16,14.73,14.77,14.67,14.74,2144200,14.74
2015-10-15,14.48,14.64,14.46,14.63,1621900,14.63
2015-10-14,14.30,14.42,14.26,14.33,2770800,14.33
2015-10-13,14.04,14.27,14.03,14.16,2358500,14.16
2015-10-12,14.21,14.28,14.19,14.22,2539500,14.22
2015-10-09,14.34,14.51,14.34,14.44,3044500,14.44
2015-10-08,14.51,14.64,14.41,14.62,2774800,14.62
2015-10-07,14.84,14.96,14.69,14.82,2615700,14.82
2015-10-06,14.77,14.90,14.76,14.81,2039900,14.81
2015-10-05,14.69,14.80,14.66,14.78,2013000,14.78
2015-10-02,14.14,14.47,14.10,14.46,3322600,14.46
2015-10-01,14.26,14.30,14.11,14.27,3095000,14.27
2015-09-30,14.21,14.24,13.98,14.13,2163200,14.13
2015-09-29,13.94,14.04,13.84,13.98,3918100,13.98
2015-09-28,13.85,13.95,13.78,13.83,3323600,13.83
2015-09-25,14.27,14.41,14.19,14.27,3037200,14.27
2015-09-24,13.93,14.05,13.82,14.04,3859000,14.04
2015-09-23,14.15,14.16,13.89,13.96,3010500,13.96
2015-09-22,14.08,14.14,13.91,14.03,3879400,14.03
2015-09-21,14.56,14.63,14.40,14.49,2276300,14.49
2015-09-18,14.53,14.58,14.37,14.41,3314800,14.41
2015-09-17,15.02,15.30,15.00,15.08,4552800,15.08
2015-09-16,14.96,15.02,14.90,15.01,2675600,15.01
2015-09-15,14.91,15.10,14.86,15.06,1890900,15.06
2015-09-14,14.80,14.89,14.71,14.80,3408100,14.80
2015-09-11,14.92,15.09,14.90,15.08,1976100,15.08
2015-09-10,14.95,15.27,14.92,15.20,2591900,15.20
2015-09-09,15.33,15.34,14.96,14.99,2047800,14.99
2015-09-08,15.08,15.11,14.92,15.08,2141800,15.08
2015-09-04,14.43,14.59,14.42,14.54,2276000,14.54
2015-09-03,15.04,15.18,14.96,15.02,2875100,15.02
2015-09-02,15.01,15.03,14.71,14.91,3420600,14.91
2015-09-01,14.85,14.92,14.66,14.74,4195100,14.74
2015-08-31,15.19,15.33,15.15,15.30,2434400,15.30
2015-08-28,15.28,15.32,15.16,15.31,3350500,15.31
2015-08-27,15.44,15.55,15.30,15.54,4528200,15.54
2015-08-26,15.18,15.30,14.87,15.28,8384800,15.28
2015-08-25,15.27,15.32,14.71,14.75,8701000,14.75
2015-08-24,14.26,14.79,13.87,14.35,10030900,14.35
2015-08-21,15.09,15.20,14.71,14.72,3575900,14.72
2015-08-20,15.55,15.55,15.12,15.12,3106000,15.12
2015-08-19,15.82,15.90,15.67,15.78,2797500,15.78
2015-08-18,16.049999,16.10,15.97,16.00,3554300,16.00
2015-08-17,15.48,15.65,15.43,15.63,2229400,15.63
2015-08-14,15.70,15.76,15.62,15.75,2839500,15.75
2015-08-13,15.88,15.93,15.71,15.77,2692600,15.77
2015-08-12,16.200001,16.280001,15.97,16.26,3468200,15.999
2015-08-11,16.629999,16.65,16.440001,16.530001,3658100,16.264667
2015-08-10,16.43,16.65,16.43,16.639999,2188300,16.3729
2015-08-07,16.32,16.360001,16.18,16.27,2019100,16.00884
2015-08-06,16.43,16.459999,16.379999,16.41,5489200,16.146592
2015-08-05,16.32,16.459999,16.290001,16.370001,5811200,16.107235
2015-08-04,17.139999,17.17,16.99,17.049999,1850900,16.776319
2015-08-03,17.27,17.280001,17.059999,17.18,2359300,16.904233
2015-07-31,17.07,17.15,16.959999,16.98,2042000,16.707443
2015-07-30,16.870001,16.969999,16.73,16.950001,2575600,16.677925
2015-07-29,16.91,17.08,16.90,16.98,3790000,16.707443
2015-07-28,17.16,17.18,17.02,17.15,2175900,16.874714
2015-07-27,16.98,17.01,16.83,16.90,1978100,16.628727
2015-07-24,17.049999,17.10,16.889999,16.92,2077000,16.648406
2015-07-23,17.209999,17.290001,17.139999,17.190001,2864900,16.914073
2015-07-22,17.00,17.17,16.98,17.139999,1682100,16.864874
2015-07-21,17.110001,17.219999,17.08,17.15,1975300,16.874714
2015-07-20,17.209999,17.25,17.110001,17.190001,1903000,16.914073
2015-07-17,17.15,17.209999,17.10,17.190001,4770100,16.914073
2015-07-16,17.26,17.379999,17.24,17.26,3181700,16.982949
2015-07-15,17.059999,17.15,16.940001,17.00,3248800,16.727122
2015-07-14,17.09,17.17,17.049999,17.120001,2088300,16.845197
2015-07-13,17.17,17.18,16.93,17.00,3359300,16.727122
2015-07-10,17.01,17.040001,16.860001,16.98,4535000,16.707443
2015-07-09,16.09,16.190001,15.98,15.98,3651200,15.723494
2015-07-08,15.45,15.56,15.32,15.44,5033600,15.192162
2015-07-07,15.47,15.80,15.20,15.76,8538700,15.507026
2015-07-06,15.79,16.08,15.77,15.90,4801900,15.644778
2015-07-02,16.65,16.66,16.52,16.620001,2839200,16.353222
2015-07-01,16.889999,16.950001,16.75,16.84,3825800,16.56969
2015-06-30,16.82,16.84,16.459999,16.58,7551600,16.313864
2015-06-29,16.459999,16.57,16.16,16.209999,4710900,15.949802
2015-06-26,17.280001,17.389999,17.17,17.23,2154200,16.95343
