Date,Open,High,Low,Close,Volume,Adj Close
2016-03-18,4.58,4.63,4.51,4.56,12989800,4.56
2016-03-17,4.42,4.59,4.31,4.57,20472400,4.57
2016-03-16,4.03,4.29,3.99,4.26,10200600,4.26
2016-03-15,4.03,4.10,3.98,4.08,14584300,4.08
2016-03-14,4.16,4.35,4.11,4.24,16660700,4.24
2016-03-11,5.01,5.29,5.01,5.25,25881400,5.25
2016-03-10,4.69,5.20,4.63,5.10,19743500,5.10
2016-03-09,4.66,4.71,4.45,4.60,13240100,4.60
2016-03-08,4.86,4.90,4.63,4.67,12139400,4.67
2016-03-07,5.01,5.15,4.97,5.14,16798100,5.14
2016-03-04,4.88,5.12,4.63,4.85,25885400,4.85
2016-03-03,4.61,4.74,4.52,4.74,15285100,4.74
2016-03-02,4.28,4.79,4.27,4.78,16004600,4.78
2016-03-01,4.13,4.19,4.04,4.14,8782200,4.14
2016-02-29,3.69,3.85,3.65,3.80,6589700,3.80
2016-02-26,3.57,3.61,3.50,3.53,4153700,3.53
2016-02-25,3.47,3.52,3.36,3.44,5054200,3.44
2016-02-24,3.41,3.57,3.34,3.56,4825800,3.56
2016-02-23,3.68,3.71,3.53,3.56,4847100,3.56
2016-02-22,3.70,3.81,3.69,3.78,5892300,3.78
2016-02-19,3.53,3.54,3.47,3.53,6335300,3.53
2016-02-18,3.63,3.65,3.49,3.55,6924900,3.55
2016-02-17,3.43,3.67,3.43,3.65,8822100,3.65
2016-02-16,3.29,3.35,3.17,3.32,6191900,3.32
2016-02-12,3.08,3.19,3.03,3.15,8284700,3.15
2016-02-11,3.00,3.05,2.93,3.02,9677600,3.02
2016-02-10,3.08,3.21,3.05,3.10,13579200,3.10
2016-02-09,3.26,3.29,3.16,3.23,9256800,3.23
2016-02-08,3.53,3.64,3.49,3.52,7496700,3.52
2016-02-05,3.81,3.92,3.71,3.73,28274000,3.73
2016-02-04,3.89,4.16,3.89,4.13,16275400,4.13
2016-02-03,3.63,3.78,3.49,3.76,7737400,3.76
2016-02-02,3.51,3.53,3.45,3.49,5885800,3.49
2016-02-01,3.68,3.78,3.60,3.73,6390100,3.73
2016-01-29,4.01,4.01,3.70,3.82,9179800,3.82
2016-01-28,4.12,4.15,3.91,4.01,11832500,4.01
2016-01-27,3.82,3.94,3.74,3.80,9236600,3.80
2016-01-26,3.71,3.95,3.65,3.94,13499900,3.94
2016-01-25,3.60,3.65,3.52,3.54,10427200,3.54
2016-01-22,3.69,3.77,3.48,3.57,14283400,3.57
2016-01-21,3.43,3.67,3.41,3.55,10893000,3.55
2016-01-20,3.34,3.51,3.25,3.41,15123400,3.41
2016-01-19,3.66,3.67,3.49,3.54,10112900,3.54
2016-01-15,3.31,3.40,3.29,3.39,7225400,3.39
2016-01-14,3.38,3.66,3.31,3.62,11708500,3.62
2016-01-13,3.52,3.53,3.27,3.28,9516600,3.28
2016-01-12,3.66,3.67,3.39,3.46,16464000,3.46
2016-01-11,3.75,3.76,3.52,3.54,22233100,3.54
2016-01-08,3.78,3.81,3.44,3.44,20650800,3.44
2016-01-07,3.71,3.82,3.65,3.73,12793900,3.73
2016-01-06,3.95,4.01,3.89,3.91,5160900,3.91
2016-01-05,4.23,4.27,4.12,4.26,5087400,4.26
2016-01-04,4.05,4.10,3.98,4.04,7507700,4.04
2015-12-31,4.24,4.27,4.18,4.22,2477900,4.22
2015-12-30,4.31,4.35,4.25,4.30,7540000,4.30
2015-12-29,4.28,4.30,4.15,4.20,6382000,4.20
2015-12-28,4.40,4.46,4.26,4.31,7960100,4.31
2015-12-24,4.50,4.62,4.50,4.61,2352800,4.61
2015-12-23,4.58,4.72,4.36,4.53,14220500,4.53
2015-12-22,3.99,4.19,3.97,4.16,8716400,4.16
2015-12-21,3.91,3.96,3.84,3.88,4106600,3.88
2015-12-18,3.80,3.88,3.77,3.85,5298300,3.85
2015-12-17,3.89,3.90,3.71,3.73,10481100,3.73
2015-12-16,3.86,3.94,3.81,3.90,7023300,3.90
2015-12-15,3.74,3.94,3.74,3.90,5707200,3.90
2015-12-14,3.81,3.86,3.72,3.74,11880600,3.74
2015-12-11,3.99,4.02,3.91,3.93,15132100,3.93
2015-12-10,4.02,4.24,4.00,4.17,13649500,4.17
2015-12-09,3.95,4.17,3.94,4.01,17690200,4.01
2015-12-08,3.91,3.98,3.87,3.93,19036000,3.93
2015-12-07,4.15,4.19,4.12,4.17,10386400,4.17
2015-12-04,4.35,4.39,4.29,4.37,13074400,4.37
2015-12-03,4.54,4.55,4.36,4.39,3344800,4.39
2015-12-02,4.47,4.53,4.39,4.42,16864600,4.42
2015-12-01,4.86,4.91,4.82,4.89,7080900,4.89
2015-11-30,4.85,4.90,4.80,4.86,4195300,4.86
2015-11-27,4.87,4.88,4.77,4.77,3927400,4.77
2015-11-25,4.65,4.80,4.62,4.74,9050200,4.74
2015-11-24,4.82,4.94,4.80,4.92,7760200,4.92
2015-11-23,4.88,4.92,4.78,4.81,8468200,4.81
2015-11-20,5.33,5.33,5.04,5.05,6765700,5.05
2015-11-19,5.17,5.31,5.16,5.26,6745300,5.26
2015-11-18,5.08,5.17,5.02,5.14,8246700,5.14
2015-11-17,4.91,4.92,4.75,4.85,14369800,4.85
2015-11-16,4.89,4.95,4.76,4.88,8460400,4.88
2015-11-13,4.88,4.95,4.79,4.84,9099400,4.84
