Date,Open,High,Low,Close,Volume,Adj Close
2016-03-18,29.40,29.549999,29.049999,29.08,197200,29.08
2016-03-17,29.379999,29.42,29.139999,29.360001,156600,29.360001
2016-03-16,28.73,29.370001,28.700001,29.34,164000,29.34
2016-03-15,28.860001,28.879999,27.75,28.459999,431400,28.459999
2016-03-14,29.17,29.469999,28.030001,28.57,321900,28.57
2016-03-11,28.76,29.280001,28.690001,29.17,185500,29.17
2016-03-10,28.49,28.799999,27.90,28.16,153300,28.16
2016-03-09,28.450001,28.780001,28.32,28.67,130400,28.67
2016-03-08,29.17,29.34,27.90,27.99,239000,27.99
2016-03-07,29.200001,29.93,29.15,29.40,325000,29.40
2016-03-04,30.32,30.58,30.129999,30.23,372400,30.23
2016-03-03,29.370001,29.709999,25.049999,29.709999,238000,29.709999
2016-03-02,28.77,29.17,28.66,29.15,348400,29.15
2016-03-01,28.35,28.549999,27.959999,28.41,518400,28.41
2016-02-29,27.76,27.99,27.42,27.42,261000,27.42
2016-02-26,26.540001,26.74,26.389999,26.51,109800,26.51
2016-02-25,25.93,26.07,25.52,25.91,178900,25.91
2016-02-24,25.17,26.25,25.15,26.09,245800,26.09
2016-02-23,26.690001,26.870001,26.43,26.610001,134600,26.610001
2016-02-22,27.09,27.129999,26.65,26.99,311200,26.99
2016-02-19,26.620001,26.690001,26.02,26.110001,313800,26.110001
2016-02-18,28.030001,28.10,27.50,27.629999,252700,27.629999
2016-02-17,27.129999,27.50,27.09,27.41,249000,27.41
2016-02-16,26.23,26.43,25.83,26.370001,308400,26.370001
2016-02-12,24.99,25.030001,24.65,25.00,318600,25.00
2016-02-11,25.040001,25.15,24.790001,25.139999,247800,25.139999
2016-02-10,24.84,25.209999,24.82,24.940001,202400,24.940001
2016-02-09,24.610001,25.00,24.50,24.90,450300,24.90
2016-02-08,25.24,25.370001,25.00,25.34,391000,25.34
2016-02-05,26.75,27.040001,26.40,26.42,278400,26.42
2016-02-04,25.219999,25.99,25.219999,25.940001,216500,25.940001
2016-02-03,25.57,25.83,25.110001,25.77,276800,25.77
2016-02-02,25.91,25.940001,25.52,25.59,212200,25.59
2016-02-01,25.870001,26.26,25.77,26.209999,157200,26.209999
2016-01-29,25.99,26.43,25.969999,26.42,279700,26.42
2016-01-28,26.99,27.049999,26.43,26.84,157400,26.84
2016-01-27,26.98,27.440001,26.85,27.110001,126000,27.110001
2016-01-26,26.629999,27.280001,26.60,27.209999,128200,27.209999
2016-01-25,26.77,26.83,26.450001,26.51,234200,26.51
2016-01-22,27.620001,27.73,26.950001,27.200001,727200,27.200001
2016-01-21,26.10,27.00,25.76,26.90,802600,26.90
2016-01-20,25.719999,25.90,25.07,25.860001,507500,25.860001
2016-01-19,26.450001,26.82,26.309999,26.49,265200,26.49
2016-01-15,26.49,26.74,26.049999,26.43,579400,26.43
2016-01-14,27.73,27.969999,27.32,27.799999,332800,27.799999
2016-01-13,28.60,28.700001,27.90,27.93,395900,27.93
2016-01-12,28.25,28.43,27.33,27.879999,382000,27.879999
2016-01-11,28.120001,28.32,27.60,27.85,383000,27.85
2016-01-08,27.610001,27.639999,27.10,27.309999,817300,27.309999
2016-01-07,26.870001,27.00,26.67,26.85,623400,26.85
2016-01-06,27.67,28.139999,27.50,28.139999,665600,28.139999
2016-01-05,28.459999,28.50,27.780001,28.34,972200,28.34
2016-01-04,30.02,30.139999,29.66,30.10,686600,30.10
2015-12-31,30.799999,31.190001,30.700001,30.98,107500,30.98
2015-12-30,31.23,31.35,31.00,31.17,134300,31.17
2015-12-29,31.549999,31.610001,31.299999,31.51,238200,31.51
2015-12-28,31.469999,31.700001,31.27,31.700001,209700,31.700001
2015-12-24,31.24,31.40,31.190001,31.299999,96200,31.299999
2015-12-23,31.110001,31.35,31.10,31.23,429600,31.23
2015-12-22,30.83,31.40,30.75,31.370001,346700,31.370001
2015-12-21,30.73,30.780001,30.360001,30.50,183000,30.50
2015-12-18,30.290001,30.450001,30.26,30.360001,230500,30.360001
2015-12-17,30.41,30.42,30.110001,30.26,270300,30.26
2015-12-16,29.700001,30.200001,29.50,30.129999,301500,30.129999
2015-12-15,29.34,29.75,29.16,29.43,348500,29.43
2015-12-14,29.870001,29.969999,29.02,29.43,319200,29.43
2015-12-11,30.43,30.48,30.049999,30.059999,365900,30.059999
2015-12-10,30.790001,31.049999,30.60,30.610001,527200,30.610001
2015-12-09,30.82,31.00,30.52,30.700001,600000,30.700001
2015-12-08,28.68,29.129999,28.610001,29.10,297400,29.10
2015-12-07,29.85,29.85,29.50,29.629999,327700,29.629999
2015-12-04,30.08,30.200001,29.90,30.00,516000,30.00
2015-12-03,30.129999,30.17,29.67,29.879999,920300,29.879999
2015-12-02,28.58,29.299999,28.540001,28.84,471000,28.84
2015-12-01,30.709999,30.709999,28.65,29.49,1249100,29.49
2015-11-30,29.66,29.84,29.51,29.77,628100,29.77
2015-11-27,28.40,28.530001,28.360001,28.440001,177800,28.440001
2015-11-25,27.59,28.799999,27.41,28.700001,1223600,28.700001
2015-11-24,27.67,27.700001,27.00,27.41,444800,27.41
2015-11-23,26.23,26.98,26.139999,26.73,421700,26.73
2015-11-20,26.83,26.85,25.85,25.959999,553700,25.959999
2015-11-19,26.290001,27.15,26.26,27.02,859900,27.02
2015-11-18,25.639999,26.16,25.610001,25.959999,410600,25.959999
2015-11-17,25.00,25.08,24.870001,25.040001,850800,25.040001
2015-11-16,25.129999,25.370001,25.01,25.33,331000,25.33
2015-11-13,25.82,25.85,25.00,25.57,325900,25.57
2015-11-12,25.049999,25.50,25.00,25.40,413100,25.40
2015-11-11,25.74,25.75,25.219999,25.309999,255800,25.309999
2015-11-10,25.700001,25.85,25.440001,25.82,356000,25.82
2015-11-09,26.139999,26.24,25.90,26.059999,506100,26.059999
2015-11-06,26.379999,26.49,26.16,26.450001,467300,26.450001
2015-11-05,26.370001,26.57,25.98,26.52,1271400,26.52
2015-11-04,26.049999,26.07,25.459999,25.93,1615800,25.93
2015-11-03,27.00,27.43,25.459999,25.49,2186500,25.49
2015-11-02,27.93,28.200001,26.950001,27.00,886900,27.00
2015-10-30,27.92,27.98,27.74,27.799999,345200,27.799999
2015-10-29,27.35,27.57,27.25,27.540001,643500,27.540001
2015-10-28,27.26,27.75,27.25,27.620001,403200,27.620001
2015-10-27,27.190001,27.33,26.98,27.299999,601400,27.299999
2015-10-26,27.59,28.040001,27.41,28.030001,694100,28.030001
2015-10-23,27.83,27.870001,26.99,27.209999,872100,27.209999
2015-10-22,27.120001,27.799999,27.110001,27.639999,468100,27.639999
2015-10-21,27.16,27.68,26.90,27.51,489700,27.51
2015-10-20,26.26,26.50,26.25,26.40,426400,26.40
2015-10-19,26.940001,27.00,26.549999,26.98,463700,26.98
2015-10-16,27.719999,27.75,27.299999,27.43,918500,27.43
2015-10-15,28.889999,28.91,27.98,28.190001,1033600,28.190001
2015-10-14,30.01,30.16,28.700001,29.25,681500,29.25
2015-10-13,28.93,30.00,28.75,29.25,1014500,29.25
2015-10-12,30.40,30.50,29.66,30.469999,1094600,30.469999
2015-10-09,29.51,29.74,28.10,28.290001,1825600,28.290001
2015-10-08,26.16,26.77,26.00,26.77,1530900,26.77
2015-10-07,26.030001,26.90,25.469999,26.610001,4197200,26.610001
2015-10-06,23.700001,24.49,23.620001,24.43,1817200,24.43
2015-10-05,22.809999,23.450001,22.799999,23.360001,1369700,23.360001
2015-10-02,22.91,23.129999,22.709999,23.07,1905000,23.07
2015-10-01,23.84,23.959999,23.40,23.719999,916000,23.719999
2015-09-30,23.52,24.10,23.34,24.10,1882500,24.10
2015-09-29,23.709999,23.719999,23.200001,23.32,1164000,23.32
2015-09-28,23.90,24.200001,23.549999,23.969999,3042700,23.969999
2015-09-25,25.860001,26.08,25.23,25.68,3736800,25.68
2015-09-24,27.00,27.190001,26.51,27.16,6111300,27.16
2015-09-23,26.870001,27.629999,26.049999,27.10,8156900,27.10
2015-09-22,24.41,25.73,24.40,25.440001,8596700,25.440001
2015-09-21,29.719999,30.17,29.58,30.10,3239100,30.10
2015-09-18,36.669998,36.919998,36.259998,36.310001,225800,36.310001
2015-09-17,38.049999,38.369999,37.700001,38.029999,33300,38.029999
